Species,Authority,Family,Species_OtherName,Symmetry,Symmetry.note,Symmetry.reference,Symmetry.Sauquet,Symmetry.Reyes,Symmetry.Kalisz,Species.Sauquet.Original,Reference.Sauquet,Species.Reyes.Original,Ref.Reyes,Species.Kalisz.Original,Ref.Kalisz,Cleistogamy,Type.Cleistogamy,Reference.Cleistogamy,Comments.Cleistogamy,SCindex,AutofertilityIndex
Eliea_articulata,,Hypericaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Eliea articulata,"Sauquet et al., 2017",,,,,0,,,,,
Elsholtzia_ciliata,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Elsholtzia cristata,1,0,,,,,
Elytranthe_albida,,Loranthaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Elytranthe albida,Reyes et al. 2016,,,0,,,,,
Emblingia_calceoliflora,,Emblingiaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Emblingia calceoliflora,Reyes et al. 2016,,,0,,,,,
Emex_spinosa,,Polygonaceae,Rumex spinosus (Kew),Act,,"https://gobotany.newenglandwild.org/species/emex/spinosa/, http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220004702",,,,,,,,,,1,dimorphic,Kaul et al. 2000,,,
Emilia_discifolia,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Senecio discifolius,2,0,,,,,
Endospermum_moluccanum,,Euphorbiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Endospermum moluccanum,"Sauquet et al., 2017",,,,,0,,,,,
Enkianthus_campanulatus,,Ericaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Enkianthus campanulatus,"Sauquet et al., 2017",Enkianthus campanulatus,Reyes et al. 2016,,,0,,,,,
Epifagus_virginiana,,Orobanchaceae,,Zygo,,Flore Laurentienne et pers obs https://www.inaturalist.org/taxa/62685-Epifagus-virginiana/browse_photos,,,,,,,,,,1,dimorphic,Howes 1999 (Not primary lit.),,,
Epilobium_angustifolium,,Onagraceae,Chamaenerion angustifolium ssp. Angustifolium (Vascan),Zygo,,Reyes et al. 2016; ,,Zygo,,,,Epilobium angustifolium,Reyes et al. 2016,,,0,,,,,
Epilobium_palustre,,Onagraceae,,Act,,Reyes et al. 2016; ,,Act,,,,Epilobium palustre,Reyes et al. 2016,,,0,,,,,
Epiphyllum_oxypetalum,,Cactaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Epiphyllum oxypetalum,Reyes et al. 2016,,,0,,,,,
Epiphyllum_phyllanthus,,Cactaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Epiphyllum phyllanthus,Reyes et al. 2016,,,0,,,,,
Erechtites_minima,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Senecio minimus,2,0,,,,,
Eremosyne_pectinata,,Escalloniaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Eremosyne pectinata,"Sauquet et al., 2017",,,,,0,,,,,
Erianthemum_dregei,,Loranthaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Erianthemum dregei,Reyes et al. 2016,,,0,,,,,
Eriastrum_densifolium,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eriastrum densifolium,1,0,,,,,
Eriastrum_virgatum,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Gilia virgata,1,0,,,,,
Erica_arborea,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Erica arborea,1,0,,,,,
Erica_cinerea,,Ericaceae,,Act,,"Reyes et al. 2016; Kalisz et al., 2006",,Act,Act,,,Erica cinerea,Reyes et al. 2016,Erica cinerea,1,0,,,,,
Erica_herbacea,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Erica herbacea,1,0,,,,,
Erica_mackaiana,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Erica mackaiana,1,0,,,,,
