og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_species,sym_genus,sym_family,rank_sym_scored_at,sym_data_source,sym_data_reference,latitude_data_entry_notes
Sophora.fernandeziana,Fabaceae,6,NA,NA,Juan Fernández Islands (Chile),NA,NA,350,NA,Bernardello et al. (2004). Amer. J. Bot. 91: 198-206.,NA,SI?,1,Sep-Oct.,NA,NA,NA,marcoshighquality,6,Sophora fernandeziana,NA,NA,Sophora fernandeziana,species,Fabaceae,Sophora,zygomorphic,zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Stachys.cretica,Lamiaceae,2.7,0.2,3,Daphni (Greece),NA,NA,135 to 215,Mediterranean scrubland,Petanidou & Vokou (1993). Amer. J. Bot. 80: 892-899.,NA,NA,1,NA,NA,NA,NA,marcoshighquality,2.7,Stachys cretica,NA,NA,Stachys cretica,species,Lamiaceae,Stachys,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Stellaria.pubera,Caryophyllaceae,3.6,0.081482278,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",35.981256,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,1,Apr-May.,5.1,0.15109662,NA,marcoshighquality,3.6,Stellaria pubera,NA,NA,Stellaria pubera,species,Caryophyllaceae,Stellaria,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Stenocereus.eruca,Cactaceae,0.583333333,NA,NA,"Estero Salinas, Baja California (Mexico)",NA,NA,NA,Desert,Clark-Tapia & Molina-Freaner (2004). Plant Syst. Evol. 247: 155-164.,NA,SI,1,Aug-Oct.,NA,NA,Open at dusk,marcoshighquality,0.583333333,Stenocereus eruca,NA,NA,Stenocereus eruca,species,Cactaceae,Stenocereus,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Teucrium.polium,Lamiaceae,1.2,0.08,3,Daphni (Greece),NA,NA,135 to 215,Mediterranean scrubland,Petanidou & Vokou (1993). Amer. J. Bot. 80: 892-899.,NA,NA,Traces,NA,NA,NA,NA,marcoshighquality,1.2,Teucrium polium,NA,NA,Teucrium polium,species,Lamiaceae,Teucrium,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Tiarella.cordifolia,Saxifragaceae,6.2,0.148131216,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",35.981256,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,0,Apr-May.,6.8,0.151447561,NA,marcoshighquality,6.2,Tiarella cordifolia,NA,NA,Tiarella cordifolia,species,Saxifragaceae,Tiarella,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Tolumnia.variegata,Orchidaceae,14,NA,0,Near Laguna Tortuguero (Puerto Rico),NA,NA,10,Secondary tropical forest,Sabat & Ackerman (1996). Amer. J. Bot. 83: 1181-1186.,NA,NA,0,NA,NA,NA,NA,marcoshighquality,14,Tolumnia variegata,NA,NA,Tolumnia variegata,species,Orchidaceae,Tolumnia,zygomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Torrubia.costaricana(=Guapira.costaricana),Nyctaginaceae,4.1,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",10.334177,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,D species. Data for male flowers.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity,4.1,Guapira costaricana,NA,NA,Guapira costaricana,species,Nyctaginaceae,Guapira,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Torrubia.costaricana(=Guapira.costaricana),Nyctaginaceae,8,NA,1,NA,NA,NA,NA,NA,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,D species. Data for female flowers.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity,8,Guapira costaricana,NA,NA,Guapira costaricana,species,Nyctaginaceae,Guapira,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Trifolium.alpinum,Fabaceae,3.4,0.309838668,3,"Realp, Alps (Switzerland)",NA,NA,1600,Alpine meadow,Trunschke & Stocklin (2017). Alp. Bot. 127: 41-51.,NA,NA,NA,NA,5.22,0.75,NA,marcoshighquality marcoshighquality,3.4,Trifolium alpinum,NA,NA,Trifolium alpinum,species,Fabaceae,Trifolium,zygomorphic,zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
