og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch
Cissampelos.pareira,Menispermaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Cissampelos pareira
Cistus.crispus,Cistaceae,6.5 to 7.15 h,NA,NA,"Quinta de Sao Pedro RS, Sobreda (Portugal)",NA,NA,NA,Mediterranean scrubland,Brandt & Gottsberger (1988). Lagascalia 15 (extra): 625-634.,NA,SI,Little,May-Jun.,NA,NA,Open in the morning,marcoshighquality,0.284375,Cistus crispus
Cistus.ladanifer,Cistaceae,8 to 9 h,NA,NA,"Quinta de Sao Pedro RS, Sobreda (Portugal)",NA,NA,NA,Mediterranean scrubland,Brandt & Gottsberger (1988). Lagascalia 15 (extra): 625-634.,NA,SI,Little,Apr-May.,NA,NA,Open in the morning,marcoshighquality,0.354166667,Cistus ladanifer
Cistus.parviflorus,Cistaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Cistus parviflorus
Cistus.salvifolius,Cistaceae,8.5 to 10,NA,NA,"Quinta de Sao Pedro RS, Sobreda (Portugal)",NA,NA,NA,Mediterranean scrubland,Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,SI,Little,Mar-Jun.,NA,NA,Open at dawn,marcoshighquality marcoshighquality,9.25,Cistus salvifolius
Cistus.salvifolius,Cistaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality,1,Cistus salvifolius
Citrus.aurantiifolia,Rutaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,1,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Citrus aurantiifolia
Claytonia.virginica,Montiaceae,2.3,0.09002614,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",NA,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,1,Mar-May.,2.9,0.117978136,NA,marcoshighquality,2.3,Claytonia virginica
Cleistocactus.baumannii,Cactaceae,2,NA,NA,"Porto Murtinho, Matto Grosso do Sul (Brazil)",-21.70111111,-57.885,NA,Chaco: tropical dry forest,Ferreira et al. (2020). Acta Bot. Brasil. 34: 167-176.,NA,SI,1,"All year round, peak in Mar.",NA,NA,Diurnal,marcoshighquality,2,Cleistocactus baumannii
Clematis.cirrhosa,Ranunculaceae,20.5,0.2,3,10 sites in 3 islands of Balearic islands (Spain),NA,NA,NA,Mediterranean shrublands and forest,Tomàs et al. (2022). S. Afr. J. Bot. 151: 85-94.,NA,SC,1,Dec-Mar.,NA,NA,NA,marcoshighquality,20.5,Clematis cirrhosa
