LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Bombax costatum Pellegr. & Vuill.	7681	Bombax costatum	2780307	25719985	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	radial											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Bonatea polypodantha (Rchb. f.) L. Bolus	287700	Bonatea polypodantha	2780327	25720005	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	bilateral											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Bonatea speciosa (L. f.) Willd.	7703	Bonatea speciosa	2780347	25720025	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	bilateral											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Bonatea speciosa (L. f.) Willd. var. speciosa	408713	Bonatea speciosa var. speciosa	2780364	25720042	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	bilateral											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Boophone disticha (L.f.) Herb.	76760	Boophone disticha	2780384	25720062	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	radial											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Boophone haemanthoides F. M. Leight.	209442	Boophone haemanthoides	2780404	25720082	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	radial											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Borassus aethiopum Mart.	7728	Borassus aethiopum	2780422	25720100	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	radial											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Borassus akeassii Bayton, Ouédr. & Guinko	209448	Borassus akeassii	2780441	25720119	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	radial											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Borreria chaetocephala (DC.) Hepper	51274	Spermacoce chaetocephala	2780461	25720139	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	radial											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
Schmidt	Marco	350	Trait Data for African Plants - a Photo Guide	Borreria latifolia (Aubl.) K. Schum.	263257	Spermacoce alata	2780480	25720158	2935	Flower symmetry type (flower shape)	3793	Flower - Symmetry	Flower - Symmetry	radial											Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26			
