og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_genus,sym_family,sym_species
Byrsonima intermedia,Malpighiaceae,NA,NA,NA,NA,-20.45,NA,564,NA,"Boas, J.C.V., Fava, W.S., Laroca, S. & Sigrist, M.R. (2013). Two sympatric Byrsonima species (Malpighiaceae) differ in phenological and reproductive patterns. Flora - Morphology, Distribution, Functional Ecology of Plants, 208, 360-369.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Byrsonima intermedia,invertebrate,NA,Byrsonima intermedia,species,Malpighiaceae,Byrsonima,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Byrsonima pathyphylla,Malpighiaceae,NA,NA,NA,NA,-20.45,NA,564,NA,"Boas, J.C.V., Fava, W.S., Laroca, S. & Sigrist, M.R. (2013). Two sympatric Byrsonima species (Malpighiaceae) differ in phenological and reproductive patterns. Flora - Morphology, Distribution, Functional Ecology of Plants, 208, 360-369.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Byrsonima pathyphylla,invertebrate,NA,Byrsonima pachyphylla,species,Malpighiaceae,Byrsonima,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Byrsonima verbascifolia,Malpighiaceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Byrsonima verbascifolia,invertebrate,NA,Byrsonima verbascifolia,species,Malpighiaceae,Byrsonima,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Byttneria scabra,Malvaceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,N,NA,NA,NA,NA,NA,songetal20223,2,Byttneria scabra,invertebrate,NA,Ayenia scabra,species,Malvaceae,Ayenia,NA,actinomorphic zygomorphic,NA
Cabomba aquatica,Cabombaceae,NA,NA,NA,NA,-8.013516667,NA,25,NA,"Silva, J. & Leite, A. (2011). Reproductive biology and pollination of Cabomba aquatica (Cabombaceae). Rodriguésia, 62. 919-926.",NA,Y,NA,NA,NA,NA,NA,songetal20223,2,Cabomba aquatica,invertebrate,NA,Cabomba aquatica,species,Cabombaceae,Cabomba,actinomorphic,actinomorphic,actinomorphic
Caesalpinia calycina,Fabaceae,NA,NA,NA,NA,-13.80277778,NA,464,NA,"Gibbs, G.L.P. (1999). Reproductive biology ofCaesalpinia calycinaandC. pluviosa(Leguminosae) of the caatinga of north-eastern Brazil. Plant Systematics and Evolution, 217.Borges, L.A., Sobrinho, M.S. & Lopes, A.V. (2009). Phenology, pollination, and breeding system of the threatened tree Caesalpinia echinata Lam. (Fabaceae), and a review of studies on the reproductive biology in the genus. Flora - Morphology, Distribution, Functional Ecology of Plants, 204, 111-130.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Caesalpinia calycina,invertebrate,NA,Erythrostemon calycinus,species,Fabaceae,Erythrostemon,zygomorphic,actinomorphic zygomorphic,NA
Caesalpinia echinata,Fabaceae,NA,NA,NA,NA,-8.039722222,NA,170,NA,"Borges, L.A., Sobrinho, M.S. & Lopes, A.V. (2009). Phenology, pollination, and breeding system of the threatened tree Caesalpinia echinata Lam. (Fabaceae), and a review of studies on the reproductive biology in the genus. Flora - Morphology, Distribution, Functional Ecology of Plants, 204, 111-130.",NA,N,NA,NA,NA,NA,NA,songetal20223,0.5833333333333334,Caesalpinia echinata,invertebrate,NA,Paubrasilia echinata,species,Fabaceae,Paubrasilia,NA,actinomorphic zygomorphic,NA
Caesalpinia pluviosa,Fabaceae,NA,NA,NA,NA,-13.99555556,NA,480,NA,"Gibbs, G.L.P. (1999). Reproductive biology ofCaesalpinia calycinaandC. pluviosa(Leguminosae) of the caatinga of north-eastern Brazil. Plant Systematics and Evolution, 217.Borges, L.A., Sobrinho, M.S. & Lopes, A.V. (2009). Phenology, pollination, and breeding system of the threatened tree Caesalpinia echinata Lam. (Fabaceae), and a review of studies on the reproductive biology in the genus. Flora - Morphology, Distribution, Functional Ecology of Plants, 204, 111-130.",NA,Y,NA,NA,NA,NA,NA,songetal20223,0.5,Caesalpinia pluviosa,invertebrate,NA,Cenostigma pluviosum,species,Fabaceae,Cenostigma,zygomorphic,actinomorphic zygomorphic,NA
Caesalpinia pyramidalis,Fabaceae,NA,NA,NA,NA,-7.341861111,NA,460,NA,"Virgínia de Lima Leite, A. & Machado, I.C. (2010). Reproductive biology of woody species in Caatinga, a dry forest of northeastern Brazil. Journal of Arid Environments, 74, 1374-1380.",NA,N,NA,NA,NA,NA,NA,songetal20223,3,Caesalpinia pyramidalis,invertebrate,NA,Cenostigma pyramidale,species,Fabaceae,Cenostigma,zygomorphic,actinomorphic zygomorphic,zygomorphic
Caldesia parnassifolia,Alismataceae,NA,NA,NA,NA,26.87194444,NA,50,NA,"Robert, G.W., Qing-feng, W., Yong, W. & You-hao, G. (2003). Reproductive biology and prospects for conservation of Caldesia parnassifolia (Alismataceae)—A threatened monocot in China. Wuhan University Journal of Natural Sciences A, 8, 117-124.",NA,Y,NA,NA,NA,NA,NA,songetal20223,0.333333333,Caldesia parnassifolia,invertebrate,NA,Caldesia parnassifolia,species,Alismataceae,Caldesia,NA,actinomorphic,actinomorphic
Calligonum ebi-nuricum,Polygonaceae,NA,NA,NA,NA,44.62677778,NA,235,NA,"Li, Z.-c., Li, J., Lü, H.-y. & Zhang, X. (2015). Floral Syndrome and Breeding Systems of Calligonum ebi-nuricum. Acta Horticulturae Sinica, 42, 939-949.",NA,Y,NA,NA,NA,NA,NA,songetal20223,5,Calligonum ebi-nuricum,invertebrate,NA,Calligonum ebinuricum,species,Polygonaceae,Calligonum,NA,actinomorphic zygomorphic,NA
Calotropis gigantean,Apocynaceae,NA,NA,NA,NA,23.63804444,NA,478,NA,"Liu, P., Liu, H.-m., Wang, L.-c., Li, L., Zheng, Y. & Zhang, T.-k. (2015). Floral Syndrome and Breeding System of Calotropis gigantean. Acta Horticulturae Sinica, 42, 2002-2014.",NA,Y,NA,NA,NA,NA,NA,songetal20223,7.5,Calotropis gigantean,invertebrate,NA,Calotropis gigantea,species,Apocynaceae,Calotropis,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula medium,Campanulaceae,NA,NA,NA,NA,44.057526,NA,850,NA,"D'Antraccoli, M., Roma-Marzio, F., Benelli, G., Canale, A. & Peruzzi, L. (2019). Dynamics of secondary pollen presentation in Campanula medium (Campanulaceae). Journal of Plant Research, 132, 251-261.",NA,N,NA,NA,NA,NA,NA,songetal20223,10.9,Campanula medium,invertebrate,NA,Campanula medium,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula patula,Campanulaceae,NA,NA,NA,NA,51.3,NA,170,NA,"Denisow, B., Strza?kowska-Abramek, M. & ... (2018). Nectar secretion and pollen production in protandrous flowers of Campanula patula L.(Campanulaceae). Acta Agrobotanica, 71, 1734.",NA,N,NA,NA,NA,NA,NA,songetal20223,3.6,Campanula patula,invertebrate,NA,Campanula patula,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula patula,Campanulaceae,NA,NA,NA,NA,51.3,NA,170,NA,"Denisow, B., Strza?kowska-Abramek, M. & ... (2018). Nectar secretion and pollen production in protandrous flowers of Campanula patula L.(Campanulaceae). Acta Agrobotanica, 71, 1734.",NA,N,NA,NA,NA,NA,NA,songetal20223,5.4,Campanula patula,invertebrate,NA,Campanula patula,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula rapunculoides,Campanulaceae,NA,NA,NA,NA,40.88611111,NA,291,NA,"Richardson, T.E. & Stephenson, A.G. (1989). Pollen Removal and Pollen Deposition Affect the Duration of the Staminate and Pistillate Phases in Campanula rapunculoides. American Journal of Botany, 76, 532-538.",NA,N,NA,NA,NA,NA,NA,songetal20223,2.72,Campanula rapunculoides,invertebrate,NA,Campanula rapunculoides,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula rapunculoides,Campanulaceae,NA,NA,NA,NA,40.88611111,NA,291,NA,"Richardson, T.E. & Stephenson, A.G. (1989). Pollen Removal and Pollen Deposition Affect the Duration of the Staminate and Pistillate Phases in Campanula rapunculoides. American Journal of Botany, 76, 532-538.",NA,N,NA,NA,NA,NA,NA,songetal20223,2.52,Campanula rapunculoides,invertebrate,NA,Campanula rapunculoides,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula rapunculus,Campanulaceae,NA,NA,NA,NA,50.70083333,NA,170,NA,"Schlindwein, C., Wittmann, D., Martins, C.F., Hamm, A., Siqueira, J.A., Schiffler, D. et al. (2005). Pollination of Campanula rapunculus L. (Campanulaceae): How much pollen flows into pollination and into reproduction of oligolectic pollinators? Plant Systematics and Evolution, 250, 147-156.",NA,Y,NA,NA,NA,NA,NA,songetal20223,0.883333333,Campanula rapunculus,invertebrate,NA,Campanula rapunculus,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula rotundifolia,Campanulaceae,NA,NA,NA,NA,38.61666667,NA,1900,NA,"Giblin, D.E. (2005). Variation in floral longevity between populations of Campanula rotundifolia (Campanulaceae) in response to fitness accrual rate manipulation. American Journal of Botany, 92, 1714-1722.",NA,N,NA,NA,NA,NA,NA,songetal20223,4.9,Campanula rotundifolia,invertebrate,NA,Campanula rotundifolia,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula rotundifolia,Campanulaceae,NA,NA,NA,NA,39.25,NA,3400,NA,"Giblin, D.E. (2005). Variation in floral longevity between populations of Campanula rotundifolia (Campanulaceae) in response to fitness accrual rate manipulation. American Journal of Botany, 92, 1714-1722.",NA,N,NA,NA,NA,NA,NA,songetal20223,9.2,Campanula rotundifolia,invertebrate,NA,Campanula rotundifolia,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula rotundifolia,Campanulaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,N,NA,NA,NA,NA,NA,songetal20223,3.5,Campanula rotundifolia,invertebrate,NA,Campanula rotundifolia,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula rotundifolia,Campanulaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,N,NA,NA,NA,NA,NA,songetal20223,3.5,Campanula rotundifolia,invertebrate,NA,Campanula rotundifolia,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula spatulata subsp. Spatulata,Campanulaceae,NA,NA,NA,NA,40.06666667,NA,1850,NA,"Blionis, G.J. & Vokou, D. (2002). Structural and functional divergence of Campanula spatulata subspecies on Mt Olympos (Greece).  Plant Systematics and Evolution, 232, 89-105. Blionis, G.J. & Vokou, D. (2001). Pollination ecology of Campanula species on Mt Olympos, Greece. Ecography, 24, 287-297.",NA,N,NA,NA,NA,NA,NA,songetal20223,7.59,Campanula spatulata subsp. Spatulata,invertebrate,NA,Campanula spatulata,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula spatulata subsp. Spruneriana,Campanulaceae,NA,NA,NA,NA,40.06666667,NA,400,NA,"Blionis, G.J. & Vokou, D. (2002). Structural and functional divergence of Campanula spatulata subspecies on Mt Olympos (Greece).  Plant Systematics and Evolution, 232, 89-105. Blionis, G.J. & Vokou, D. (2001). Pollination ecology of Campanula species on Mt Olympos, Greece. Ecography, 24, 287-297.",NA,N,NA,NA,NA,NA,NA,songetal20223,1.9,Campanula spatulata subsp. Spruneriana,invertebrate,NA,Campanula spatulata,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula spatulata subsp. Spruneriana,Campanulaceae,NA,NA,NA,NA,40.06666667,NA,900,NA,"Blionis, G.J. & Vokou, D. (2002). Structural and functional divergence of Campanula spatulata subspecies on Mt Olympos (Greece).  Plant Systematics and Evolution, 232, 89-105. Blionis, G.J. & Vokou, D. (2001). Pollination ecology of Campanula species on Mt Olympos, Greece. Ecography, 24, 287-297.",NA,N,NA,NA,NA,NA,NA,songetal20223,2.12,Campanula spatulata subsp. Spruneriana,invertebrate,NA,Campanula spatulata,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula spatulata subsp. Spruneriana,Campanulaceae,NA,NA,NA,NA,40.06666667,NA,900,NA,"Blionis, G.J. & Vokou, D. (2002). Structural and functional divergence of Campanula spatulata subspecies on Mt Olympos (Greece).  Plant Systematics and Evolution, 232, 89-105. Blionis, G.J. & Vokou, D. (2001). Pollination ecology of Campanula species on Mt Olympos, Greece. Ecography, 24, 287-297.",NA,N,NA,NA,NA,NA,NA,songetal20223,2.49,Campanula spatulata subsp. Spruneriana,invertebrate,NA,Campanula spatulata,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula uniflora,Campanulaceae,NA,NA,NA,NA,65.73076667,NA,750,NA,"Hafdís Hanna, ?. & Thórhallsdóttir, T.E. (2006). Breeding System Evolution in the Arctic: A Comparative Study of Campanula uniflora in Greenland and Iceland. Arctic, Antarctic, and Alpine Research, 38, 305-312.",NA,Y,NA,NA,NA,NA,NA,songetal20223,5.5,Campanula uniflora,invertebrate,NA,Campanula uniflora,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Campanula uniflora,Campanulaceae,NA,NA,NA,NA,69.25596667,NA,50,NA,"Hafdís Hanna, ?. & Thórhallsdóttir, T.E. (2006). Breeding System Evolution in the Arctic: A Comparative Study of Campanula uniflora in Greenland and Iceland. Arctic, Antarctic, and Alpine Research, 38, 305-312.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.9,Campanula uniflora,invertebrate,NA,Campanula uniflora,species,Campanulaceae,Campanula,actinomorphic,actinomorphic zygomorphic,actinomorphic
Canthium coromandelicum,Rubiaceae,NA,NA,NA,NA,12.06666667,NA,3,NA,"Nayak, K.G. & Davidar, P. (2010). Pollination and breeding systems of woody plant species in tropical dry evergreen forests, southern India. Flora - Morphology, Distribution, Functional Ecology of Plants, 205, 745-753.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1,Canthium coromandelicum,invertebrate,NA,Canthium coromandelicum,species,Rubiaceae,Canthium,actinomorphic,actinomorphic zygomorphic,NA
Capanea  grandiflora,Gesneriaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,4.9,Capanea grandiflora,vertebrate,NA,Kohleria tigridia,species,Gesneriaceae,Kohleria,zygomorphic,actinomorphic zygomorphic,zygomorphic
Caperonia pallustris,Euphorbiaceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,Y,NA,NA,NA,NA,NA,songetal20223,1,Caperonia pallustris,invertebrate,NA,Caperonia palustris,species,Euphorbiaceae,Caperonia,actinomorphic,actinomorphic zygomorphic,actinomorphic
Caperonia pallustris,Euphorbiaceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,Y,NA,NA,NA,NA,NA,songetal20223,0.5,Caperonia pallustris,invertebrate,NA,Caperonia palustris,species,Euphorbiaceae,Caperonia,actinomorphic,actinomorphic zygomorphic,actinomorphic
Capparis brevispina,Capparaceae,NA,NA,NA,NA,12.06666667,NA,3,NA,"Nayak, K.G. & Davidar, P. (2010). Pollination and breeding systems of woody plant species in tropical dry evergreen forests, southern India. Flora - Morphology, Distribution, Functional Ecology of Plants, 205, 745-753.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3,Capparis brevispina,invertebrate,NA,Capparis brevispina,species,Capparaceae,Capparis,actinomorphic zygomorphic,actinomorphic zygomorphic,zygomorphic
Capparis herbacea,Capparaceae,NA,NA,NA,NA,41.135575,NA,508,NA,"Shakarishvili, N. & Osishvili, L. (2013). Sexual phenotype of Capparis herbacea (Capparaceae). Turkish Journal of Botany, 37, 682-689.",NA,N,NA,NA,NA,NA,NA,songetal20223,0.75,Capparis herbacea,invertebrate,NA,Capparis spinosa var. herbacea,variety,Capparaceae,Capparis,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Capparis zeylanica,Capparaceae,NA,NA,NA,NA,12.06666667,NA,3,NA,"Nayak, K.G. & Davidar, P. (2010). Pollination and breeding systems of woody plant species in tropical dry evergreen forests, southern India. Flora - Morphology, Distribution, Functional Ecology of Plants, 205, 745-753.",NA,N,NA,NA,NA,NA,NA,songetal20223,2,Capparis zeylanica,vertebrate,NA,Capparis zeylanica,species,Capparaceae,Capparis,actinomorphic zygomorphic,actinomorphic zygomorphic,zygomorphic
Caragana korshinskii,Fabaceae,NA,NA,NA,NA,39.35,NA,1350,NA,"Liu, L.-d., Jia, X.-j., Zhang, T., Pan, C.-c., Hou, Y.-l., Zhang, L. et al. (2010). Flowering Biology of Caragana korshinskii Kom. in Linze County of Gansu Province. Ludong University Journal( Natural Science Edition), 26, 347-352.",NA,Y,NA,NA,NA,NA,NA,songetal20223,6,Caragana korshinskii,invertebrate,NA,Caragana korshinskii,species,Fabaceae,Caragana,NA,actinomorphic zygomorphic,NA
Cardamine bilobata,Brassicaceae,NA,NA,NA,NA,-43.13333333,NA,1700,NA,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand Journal of Botany, 21, 317-333.",NA,NA,NA,NA,NA,NA,NA,songetal20223,7.1,Cardamine bilobata,invertebrate,NA,Cardamine bilobata,species,Brassicaceae,Cardamine,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Carduus tmoleus,Asteraceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,6.7,Carduus tmoleus,NA,NA,Carduus tmoleus,species,Asteraceae,Carduus,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Caryocar brasiliense,Caryocaraceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,Y,NA,NA,NA,NA,NA,songetal20223,1,Caryocar brasiliense,vertebrate,NA,Caryocar brasiliense,species,Caryocaraceae,Caryocar,actinomorphic,actinomorphic,actinomorphic
Cavendishia crassifolia,Ericaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1.4,Cavendishia crassifolia,vertebrate,NA,Cavendishia crassifolia,species,Ericaceae,Cavendishia,actinomorphic,actinomorphic zygomorphic,NA
Cedrela tonduzii,Meliaceae,NA,NA,NA,NA,10.24277778,NA,1450,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318. Wyatt R , Broyles S B . The weedy tropical milkweeds Asclepias curassavica and A. fruticosa are self-compatible. Biotropica, 1997, 29(2):232-234.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1.3,Cedrela tonduzii,invertebrate,NA,Cedrela tonduzii,species,Meliaceae,Cedrela,actinomorphic,actinomorphic,actinomorphic
Centaurea pindicola,Asteraceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,6.8,Centaurea pindicola,invertebrate,NA,Centaurea pindicola,species,Asteraceae,Centaurea,actinomorphic,actinomorphic zygomorphic,actinomorphic
Centropogon costaricae,Campanulaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,7,Centropogon costaricae,vertebrate,NA,Centropogon costaricae,species,Campanulaceae,Centropogon,zygomorphic,actinomorphic zygomorphic,zygomorphic
Centropogon solanifolius,Campanulaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,7,Centropogon solanifolius,vertebrate,NA,Centropogon solanifolius,species,Campanulaceae,Centropogon,zygomorphic,actinomorphic zygomorphic,zygomorphic
Cephaelis axillaris,Rubiaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1,Cephaelis axillaris,NA,NA,Palicourea axillaris,species,Rubiaceae,Palicourea,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Cephaelis elata,Rubiaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1,Cephaelis elata,vertebrate,NA,Palicourea elata,species,Rubiaceae,Palicourea,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Cerastium theophrasti,Caryophyllaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2,Cerastium theophrasti,invertebrate,NA,Cerastium theophrasti,species,Caryophyllaceae,Cerastium,actinomorphic,actinomorphic zygomorphic,actinomorphic
Cerastium theophrasti,Caryophyllaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,4,Cerastium theophrasti,invertebrate,NA,Cerastium theophrasti,species,Caryophyllaceae,Cerastium,actinomorphic,actinomorphic zygomorphic,actinomorphic
Cerastium uniflorum,Caryophyllaceae,NA,NA,NA,NA,46.98333333,NA,2880,NA,"Steinacher, G. & Wagner, J. (2010). Flower longevity and duration of pistil receptivity in high mountain plants. Flora, 205, 376-387.",NA,N,NA,NA,NA,NA,NA,songetal20223,3.7,Cerastium uniflorum,invertebrate,NA,Cerastium uniflorum,species,Caryophyllaceae,Cerastium,actinomorphic,actinomorphic zygomorphic,actinomorphic
Ceropegia thaithongiae,Apocynaceae,NA,NA,NA,NA,19.38472222,NA,1600,NA,"Auttama, P., McKey, D. & Kidyoo, A. (2018). Flowering phenology and trap pollination of the rare endemic plant Ceropegia thaithongiae in montane forest of northern Thailand. Botany, 96, 601-620.",NA,Y,NA,NA,NA,NA,NA,songetal20223,1.5,Ceropegia thaithongiae,invertebrate,NA,Ceropegia thaithongiae,species,Apocynaceae,Ceropegia,actinomorphic zygomorphic,actinomorphic zygomorphic,zygomorphic
Cestrum fragile,Solanaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1.3,Cestrum fragile,invertebrate,NA,Cestrum fragile,species,Solanaceae,Cestrum,actinomorphic,actinomorphic zygomorphic,NA
Chamaecrista chamaecristoides,Fabaceae,NA,NA,NA,NA,19.60273611,NA,50,NA,"Arceo-Gómez, G., Martínez, M.L., Parra-Tabla, V. & García-Franco, J.G. (2011). Anther and stigma morphology in mirror-image flowers of Chamaecrista chamaecristoides (Fabaceae): implications for buzz pollination. Plant Biology, 13, 19-24.",NA,Y,NA,NA,NA,NA,NA,songetal20223,1,Chamaecrista chamaecristoides,invertebrate,NA,Chamaecrista chamaecristoides,species,Fabaceae,Chamaecrista,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Chamaecrista desvauxii,Fabaceae,NA,NA,NA,NA,-23.98605556,NA,9,NA,"Fidalgo, A., Guimar?es, D., Caldiron, G. & Barbosa, J. (2018). Reproductive ecology of two pioneer legumes in a coastal plain degraded by sand mining. Hoehnea, 45, 93-102.",NA,Y,NA,NA,NA,NA,NA,songetal20223,0.791666667,Chamaecrista desvauxii,invertebrate,NA,Chamaecrista desvauxii,species,Fabaceae,Chamaecrista,actinomorphic zygomorphic,actinomorphic zygomorphic,zygomorphic
Chamaecrista desvauxii var. graminea,Fabaceae,NA,NA,NA,NA,-12.98388889,NA,1000,NA,"Costa, C., Lambert, S., Borba, E. & ... (2007). Post-zygotic Reproductive Isolation Between Sympatric Taxa in the Chamaecrista desvauxii Complex (Leguminosae–Caesalpinioideae). Annals of Botany, 99, 625-635.",NA,Y,NA,NA,NA,NA,NA,songetal20223,0.5,Chamaecrista desvauxii var. graminea,invertebrate,NA,Chamaecrista desvauxii var. graminea,variety,Fabaceae,Chamaecrista,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
