ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings
1255,Mussaenda pubescens var. alba,1,788399,Mussaenda pubescens var. alba,1,variety,,,NA,X.F.Deng & D.X.Zhang,Rubiaceae,Mussaenda,Mussaenda,1,pubescens,pubescens,1,,,NA,var.,alba,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:335574,,Y,Synonym,Mussaenda pubescens,Mussaenda pubescens,Dryand.,1722256,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:130563,,Rubiaceae,1,1,wcvp,0
1256,Mussaenda shikokiana,1,241935,Mussaenda shikokiana,1,species,,,NA,Makino,Rubiaceae,Mussaenda,Mussaenda,1,shikokiana,shikokiana,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:130595,,Y,Accepted,Mussaenda shikokiana,Mussaenda shikokiana,Makino,241935,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:130595,,Rubiaceae,1,1,wcvp,0
1257,Myracrodruon urundeuva,1,1725606,Myracrodruon urundeuva,1,species,,,NA,Allemão,Anacardiaceae,Myracrodruon,Myracrodruon,1,urundeuva,urundeuva,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2364474,,Y,Accepted,Myracrodruon urundeuva,Myracrodruon urundeuva,Allemão,1725606,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2364474,,Anacardiaceae,1,1,wcvp,0
1258,Myrcia  splendens,1,1736075,Myrcia splendens,1,species,,,NA,(Sw.) DC.,Myrtaceae,Myrcia,Myrcia,1,splendens,splendens,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:131639,,Y,Accepted,Myrcia splendens,Myrcia splendens,(Sw.) DC.,1736075,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:131639,,Myrtaceae,1,1,wcvp,0
1259,Myristica fatua var. magnifica,1,1797504,Myristica fatua var. magnifica,1,variety,,,NA,(Bedd.) J.Sinclair,Myristicaceae,Myristica,Myristica,1,fatua,fatua,1,,,NA,var.,magnifica,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3013736,,Y,Synonym,Myristica magnifica,Myristica magnifica,Bedd.,441662,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2501196,,Myristicaceae,1,1,wcvp,0
1260,Myrrhinium atropurpureum,1,243518,Myrrhinium atropurpureum,1,species,,,NA,Schott,Myrtaceae,Myrrhinium,Myrrhinium,1,atropurpureum,atropurpureum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:132078,,Y,Accepted,Myrrhinium atropurpureum,Myrrhinium atropurpureum,Schott,243518,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:132078,,Myrtaceae,1,1,wcvp,0
1261,Narcissus cyclamineus,1,696071,Narcissus cyclamineus,1,species,,,NA,DC.,Amaryllidaceae,Narcissus,Narcissus,1,cyclamineus,cyclamineus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:282693,,Y,Accepted,Narcissus cyclamineus,Narcissus cyclamineus,DC.,696071,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:282693,,Amaryllidaceae,1,1,wcvp,0
1262,Narcissus longispathus,1,1654879,Narcissus longispathus,1,species,,,NA,Degen & Hervier ex Pugsley,Amaryllidaceae,Narcissus,Narcissus,1,longispathus,longispathus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281875,,Y,Synonym,Narcissus nevadensis subsp. longispathus,Narcissus nevadensis,"(Degen & Hervier ex Pugsley) Algarra, Blanca, Cueto & J.Fuentes",1792161,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:530620,,Amaryllidaceae,1,1,wcvp,0
1263,Narcissus serotinus,1,691397,Narcissus serotinus,1,species,,,NA,L.,Amaryllidaceae,Narcissus,Narcissus,1,serotinus,serotinus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:282220,,Y,Accepted,Narcissus serotinus,Narcissus serotinus,L.,691397,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:282220,,Amaryllidaceae,1,1,wcvp,0
1264,Nardostachys jatamansi,1,375428,Nardostachys jatamansi,1,species,,,NA,(D.Don) DC.,Caprifoliaceae,Nardostachys,Nardostachys,1,jatamansi,jatamansi,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2382349,,Y,Accepted,Nardostachys jatamansi,Nardostachys jatamansi,(D.Don) DC.,375428,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2382349,,Caprifoliaceae,1,1,wcvp,0
