og_species,sym_all,sources
Adenia gummifera var. gummifera,actinomorphic,2023TRY_350
Adenia lobata,actinomorphic,2023TRY_350
Adenia lobata subsp. rumicifolia,actinomorphic,2023TRY_350
Adenia repanda,actinomorphic,2023TRY_350
Adenium obesum,actinomorphic,2023TRY_350
Adenocalymma bracteatum,zygomorphic,jolyandschoen2021
Adenocarpus bacquei,zygomorphic,2023TRY_350
Adenocarpus foliosus,zygomorphic,yoderetal2020
Adenocarpus mannii,zygomorphic,2023TRY_350
Adenocarpus viscosus,zygomorphic,yoderetal2020
Adenocaulon himalaicum,actinomorphic,yoderetal2020
Adenodolichos punctatus,zygomorphic,2023TRY_350
Adenodolichos rhomboideus,zygomorphic,2023TRY_350
Adenolobus garipensis,zygomorphic,2023TRY_350
Adenolobus pechuelii,zygomorphic,2023TRY_350
Adenophora liliifolia,actinomorphic,jolyandschoen2021
Adenophora triphylla,actinomorphic,yoderetal2020
Adenorandia kalbreyeri,actinomorphic,2023TRY_350
Adenostemma caffrum,actinomorphic zygomorphic,2023TRY_350
Adenostemma viscosum,actinomorphic,2023TRY_350
Adenostyles alliariae,actinomorphic,jolyandschoen2021
Adenostyles alpina,actinomorphic,jolyandschoen2021
Adesmia aconcaguensis,zygomorphic,yoderetal2020
Adesmia bijuga,zygomorphic,jolyandschoen2021
Adesmia brachy,zygomorphic,yoderetal2020
Adesmia capitellata,zygomorphic,yoderetal2020
Adesmia conferta,zygomorphic,yoderetal2020
Adesmia exilis,zygomorphic,yoderetal2020
Adesmia glomerula,zygomorphic,yoderetal2020
Adesmia haemisphaerica,zygomorphic,yoderetal2020
Adesmia montana,zygomorphic,yoderetal2020
Adesmia radicifolia,zygomorphic,yoderetal2020
Adesmia retrofracta,zygomorphic,yoderetal2020
Adesmia riograndensis,zygomorphic,jolyandschoen2021
Adonis aestivalis,actinomorphic,2023TRY_350
Adonis annua,actinomorphic,2023TRY_350
Adonis dentata,actinomorphic,2023TRY_350
Adoxa moschatellina,actinomorphic,jolyandschoen2021
